y,x
-26.452890484739385,1958.1666666666667
-24.712890484739376,1958.25
-24.662890484739364,1958.3333333333333
-26.30289048473935,1958.5
-27.232890484739357,1958.5833333333333
-28.972890484739366,1958.6666666666667
-28.82289048473939,1958.8333333333333
-27.49289048473935,1958.9166666666667
-26.58289048473938,1959.0
-25.692890484739337,1959.0833333333333
-25.512890484739387,1959.1666666666667
-24.452890484739385,1959.25
-23.872890484739344,1959.3333333333333
-24.00289048473934,1959.4166666666667
-25.612890484739353,1959.5
-27.362890484739353,1959.5833333333333
-28.32289048473939,1959.6666666666667
-28.82289048473939,1959.75
-27.352890484739362,1959.8333333333333
-26.57289048473939,1959.9166666666667
-25.732890484739357,1960.0
-25.192890484739337,1960.0833333333333
-24.58289048473938,1960.1666666666667
-23.13289048473939,1960.25
-22.13289048473939,1960.3333333333333
-22.57289048473939,1960.4166666666667
-23.982890484739357,1960.5
-26.25289048473934,1960.5833333333333
-28.00289048473934,1960.6666666666667
-28.33289048473938,1960.75
-27.162890484739364,1960.8333333333333
-25.972890484739366,1960.9166666666667
-25.272890484739378,1961.0
-24.462890484739376,1961.0833333333333
-23.622890484739344,1961.1666666666667
-22.682890484739346,1961.25
-21.58289048473938,1961.3333333333333
-22.38289048473939,1961.4166666666667
-23.58289048473938,1961.5
-25.372890484739344,1961.5833333333333
-27.172890484739355,1961.6666666666667
-26.852890484739362,1961.75
-26.06289048473934,1961.8333333333333
-25.152890484739373,1961.9166666666667
-24.222890484739366,1962.0
-23.602890484739362,1962.0833333333333
-22.472890484739366,1962.1666666666667
-21.58289048473938,1962.25
-21.152890484739373,1962.3333333333333
-21.55289048473935,1962.4166666666667
-22.55289048473935,1962.5
-24.762890484739387,1962.5833333333333
-25.902890484739373,1962.6666666666667
-26.74289048473935,1962.75
-25.472890484739366,1962.8333333333333
-24.472890484739366,1962.9166666666667
-23.422890484739355,1963.0
-23.08289048473938,1963.0833333333333
-22.30289048473935,1963.1666666666667
-20.772890484739378,1963.25
-19.922890484739355,1963.3333333333333
-20.692890484739337,1963.4166666666667
-22.422890484739355,1963.5
