y,x
112,1949.0416666666667
118,1949.125
132,1949.2083333333333
129,1949.2916666666667
121,1949.375
135,1949.4583333333333
148,1949.5416666666667
148,1949.625
136,1949.7083333333333
119,1949.7916666666667
104,1949.875
118,1949.9583333333333
115,1950.0416666666667
126,1950.125
141,1950.2083333333333
135,1950.2916666666667
125,1950.375
149,1950.4583333333333
170,1950.5416666666667
170,1950.625
158,1950.7083333333333
133,1950.7916666666667
114,1950.875
140,1950.9583333333333
145,1951.0416666666667
150,1951.125
178,1951.2083333333333
163,1951.2916666666667
172,1951.375
178,1951.4583333333333
199,1951.5416666666667
199,1951.625
184,1951.7083333333333
162,1951.7916666666667
146,1951.875
166,1951.9583333333333
171,1952.0416666666667
180,1952.125
193,1952.2083333333333
181,1952.2916666666667
183,1952.375
218,1952.4583333333333
230,1952.5416666666667
242,1952.625
209,1952.7083333333333
191,1952.7916666666667
172,1952.875
194,1952.9583333333333
196,1953.0416666666667
196,1953.125
236,1953.2083333333333
235,1953.2916666666667
229,1953.375
243,1953.4583333333333
264,1953.5416666666667
272,1953.625
237,1953.7083333333333
211,1953.7916666666667
180,1953.875
201,1953.9583333333333
204,1954.0416666666667
188,1954.125
235,1954.2083333333333
227,1954.2916666666667
234,1954.375
264,1954.4583333333333
302,1954.5416666666667
293,1954.625
259,1954.7083333333333
229,1954.7916666666667
203,1954.875
229,1954.9583333333333
242,1955.0416666666667
233,1955.125
267,1955.2083333333333
269,1955.2916666666667
270,1955.375
315,1955.4583333333333
364,1955.5416666666667
347,1955.625
312,1955.7083333333333
274,1955.7916666666667
237,1955.875
278,1955.9583333333333
284,1956.0416666666667
277,1956.125
317,1956.2083333333333
313,1956.2916666666667
318,1956.375
374,1956.4583333333333
413,1956.5416666666667
405,1956.625
355,1956.7083333333333
306,1956.7916666666667
271,1956.875
306,1956.9583333333333
315,1957.0416666666667
301,1957.125
356,1957.2083333333333
348,1957.2916666666667
355,1957.375
422,1957.4583333333333
465,1957.5416666666667
467,1957.625
404,1957.7083333333333
347,1957.7916666666667
305,1957.875
336,1957.9583333333333
340,1958.0416666666667
318,1958.125
362,1958.2083333333333
348,1958.2916666666667
363,1958.375
435,1958.4583333333333
491,1958.5416666666667
505,1958.625
404,1958.7083333333333
359,1958.7916666666667
310,1958.875
337,1958.9583333333333
360,1959.0416666666667
342,1959.125
406,1959.2083333333333
396,1959.2916666666667
420,1959.375
472,1959.4583333333333
548,1959.5416666666667
559,1959.625
463,1959.7083333333333
407,1959.7916666666667
362,1959.875
405,1959.9583333333333
417,1960.0416666666667
391,1960.125
419,1960.2083333333333
461,1960.2916666666667
472,1960.375
535,1960.4583333333333
622,1960.5416666666667
606,1960.625
508,1960.7083333333333
461,1960.7916666666667
390,1960.875
432,1960.9583333333333
